# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 2.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.25          	2.503939e+00	1.251969e+00	1.251969e+00	-1.012715e-01	-5.649111e-02	-4.478040e-02	-5.855355e-03	-7.035651e-21	-1.699479e-20	-5.780563e-20	-4.589760e-20	-1.190803e-20
0.5           	1.810705e+00	9.053525e-01	9.053525e-01	-1.699563e-02	-1.022267e-02	-6.772958e-03	-1.724855e-03	-7.829621e-21	-1.271155e-20	-5.863637e-20	-4.202973e-20	-1.660664e-20
0.75          	1.606863e+00	8.034313e-01	8.034313e-01	6.524918e-03	2.364289e-03	4.160629e-03	-8.981702e-04	-9.953684e-21	-1.170268e-20	-5.808275e-20	-4.074405e-20	-1.733870e-20
1             	1.532133e+00	7.660665e-01	7.660665e-01	1.568539e-02	7.266536e-03	8.418856e-03	-5.761599e-04	-1.240172e-20	-1.155314e-20	-5.734023e-20	-4.022326e-20	-1.711697e-20
1.25          	1.509329e+00	7.546647e-01	7.546647e-01	1.964174e-02	9.401835e-03	1.023990e-02	-4.190332e-04	-1.490787e-20	-1.170785e-20	-5.653081e-20	-3.997325e-20	-1.655756e-20
1.5           	1.509260e+00	7.546302e-01	7.546302e-01	2.158700e-02	1.045806e-02	1.112893e-02	-3.354358e-04	-1.730363e-20	-1.195928e-20	-5.563188e-20	-3.977522e-20	-1.585666e-20
1.75          	1.518561e+00	7.592804e-01	7.592804e-01	2.208247e-02	1.075174e-02	1.133073e-02	-2.894945e-04	-1.948252e-20	-1.221705e-20	-5.468224e-20	-3.955817e-20	-1.512407e-20
2             	1.530275e+00	7.651374e-01	7.651374e-01	2.174955e-02	1.061113e-02	1.113842e-02	-2.636412e-04	-2.137671e-20	-1.243521e-20	-5.370002e-20	-3.928522e-20	-1.441480e-20
2.25          	1.540931e+00	7.704656e-01	7.704656e-01	2.094398e-02	1.022266e-02	1.072132e-02	-2.493285e-04	-2.295109e-20	-1.260431e-20	-5.269064e-20	-3.894963e-20	-1.374101e-20
2.5           	1.548778e+00	7.743892e-01	7.743892e-01	1.991756e-02	9.717080e-03	1.020049e-02	-2.417029e-04	-2.421969e-20	-1.272060e-20	-5.166028e-20	-3.855074e-20	-1.310954e-20
2.75          	1.553223e+00	7.766117e-01	7.766117e-01	1.870096e-02	9.113328e-03	9.587629e-03	-2.371505e-04	-2.520724e-20	-1.278852e-20	-5.063341e-20	-3.810523e-20	-1.252818e-20
3             	1.554252e+00	7.771258e-01	7.771258e-01	1.750266e-02	8.518203e-03	8.984456e-03	-2.331263e-04	-2.594880e-20	-1.281433e-20	-4.961826e-20	-3.762346e-20	-1.199481e-20
3.25          	1.552275e+00	7.761377e-01	7.761377e-01	1.624217e-02	7.892668e-03	8.349498e-03	-2.284146e-04	-2.648760e-20	-1.280831e-20	-4.863143e-20	-3.712402e-20	-1.150741e-20
3.5           	1.547598e+00	7.737992e-01	7.737992e-01	1.497586e-02	7.265279e-03	7.710581e-03	-2.226511e-04	-2.686337e-20	-1.277528e-20	-4.768417e-20	-3.661737e-20	-1.106681e-20
3.75          	1.540875e+00	7.704375e-01	7.704375e-01	1.372523e-02	6.646825e-03	7.078401e-03	-2.157879e-04	-2.710595e-20	-1.272311e-20	-4.678193e-20	-3.611408e-20	-1.066785e-20
4             	1.532622e+00	7.663110e-01	7.663110e-01	1.253933e-02	6.061673e-03	6.477654e-03	-2.079906e-04	-2.725153e-20	-1.265722e-20	-4.592780e-20	-3.562112e-20	-1.030668e-20
4.25          	1.523248e+00	7.616238e-01	7.616238e-01	1.157542e-02	5.588384e-03	5.987036e-03	-1.993258e-04	-2.732013e-20	-1.257808e-20	-4.510775e-20	-3.513196e-20	-9.975795e-21
4.5           	1.513186e+00	7.565930e-01	7.565930e-01	1.067025e-02	5.145469e-03	5.524783e-03	-1.896572e-04	-2.733374e-20	-1.249373e-20	-4.433655e-20	-3.466200e-20	-9.674550e-21
4.75          	1.502814e+00	7.514068e-01	7.514068e-01	9.872283e-03	4.757281e-03	5.115002e-03	-1.788603e-04	-2.731052e-20	-1.240735e-20	-4.360952e-20	-3.421211e-20	-9.397407e-21
5             	1.492197e+00	7.460983e-01	7.460983e-01	9.144344e-03	4.405340e-03	4.739004e-03	-1.668322e-04	-2.725849e-20	-1.231851e-20	-4.291723e-20	-3.377712e-20	-9.140106e-21
5.25          	1.481585e+00	7.407924e-01	7.407924e-01	8.658500e-03	4.175692e-03	4.482808e-03	-1.535583e-04	-2.718807e-20	-1.222962e-20	-4.225702e-20	-3.335813e-20	-8.898888e-21
5.5           	1.471354e+00	7.356769e-01	7.356769e-01	8.312360e-03	4.017074e-03	4.295286e-03	-1.391061e-04	-2.710756e-20	-1.214383e-20	-4.164599e-20	-3.296682e-20	-8.679163e-21
5.75          	1.461358e+00	7.306789e-01	7.306789e-01	8.211118e-03	3.981887e-03	4.229231e-03	-1.236720e-04	-2.701760e-20	-1.205966e-20	-4.105645e-20	-3.258789e-20	-8.468561e-21
6             	1.451546e+00	7.257729e-01	7.257729e-01	8.196926e-03	3.991049e-03	4.205877e-03	-1.074137e-04	-2.692390e-20	-1.197736e-20	-4.048688e-20	-3.222080e-20	-8.266087e-21
6.25          	1.442222e+00	7.211108e-01	7.211108e-01	8.366286e-03	4.092627e-03	4.273660e-03	-9.051637e-05	-2.682905e-20	-1.189840e-20	-3.994953e-20	-3.187317e-20	-8.076363e-21
6.5           	1.433174e+00	7.165871e-01	7.165871e-01	8.589842e-03	4.221730e-03	4.368112e-03	-7.319079e-05	-2.673487e-20	-1.182168e-20	-3.942810e-20	-3.153573e-20	-7.892367e-21
6.75          	1.424678e+00	7.123388e-01	7.123388e-01	8.977772e-03	4.433198e-03	4.544574e-03	-5.568785e-05	-2.664148e-20	-1.174995e-20	-3.894283e-20	-3.122136e-20	-7.721467e-21
7             	1.416336e+00	7.081679e-01	7.081679e-01	9.538849e-03	4.731125e-03	4.807724e-03	-3.829944e-05	-2.654793e-20	-1.167806e-20	-3.845445e-20	-3.090529e-20	-7.549163e-21
7.25          	1.408518e+00	7.042590e-01	7.042590e-01	1.012803e-02	5.042727e-03	5.085307e-03	-2.129044e-05	-2.645733e-20	-1.161107e-20	-3.799812e-20	-3.061013e-20	-7.387992e-21
7.5           	1.400896e+00	7.004478e-01	7.004478e-01	1.088550e-02	5.437872e-03	5.447629e-03	-4.878138e-06	-2.636679e-20	-1.154456e-20	-3.754172e-20	-3.031542e-20	-7.226299e-21
7.75          	1.393776e+00	6.968881e-01	6.968881e-01	1.166936e-02	5.845437e-03	5.823919e-03	1.075904e-05	-2.627922e-20	-1.148231e-20	-3.711872e-20	-3.004167e-20	-7.077054e-21
8             	1.387014e+00	6.935071e-01	6.935071e-01	1.250758e-02	6.279230e-03	6.228348e-03	2.544087e-05	-2.619351e-20	-1.142340e-20	-3.671356e-20	-2.978018e-20	-6.933380e-21
8.25          	1.380438e+00	6.902189e-01	6.902189e-01	1.343793e-02	6.757938e-03	6.679990e-03	3.897381e-05	-2.610825e-20	-1.136500e-20	-3.631036e-20	-2.952018e-20	-6.790182e-21
8.5           	1.374057e+00	6.870286e-01	6.870286e-01	1.434972e-02	7.226066e-03	7.123656e-03	5.120532e-05	-2.602532e-20	-1.130765e-20	-3.591431e-20	-2.926480e-20	-6.649507e-21
8.75          	1.368126e+00	6.840632e-01	6.840632e-01	1.536744e-02	7.745720e-03	7.621720e-03	6.200031e-05	-2.594395e-20	-1.125427e-20	-3.554640e-20	-2.902746e-20	-6.518931e-21
9             	1.362562e+00	6.812809e-01	6.812809e-01	1.632734e-02	8.234879e-03	8.092458e-03	7.121060e-05	-2.586549e-20	-1.120472e-20	-3.520763e-20	-2.880853e-20	-6.399095e-21
9.25          	1.356860e+00	6.784301e-01	6.784301e-01	1.729132e-02	8.724375e-03	8.566941e-03	7.871668e-05	-2.578767e-20	-1.115266e-20	-3.483939e-20	-2.857235e-20	-6.267040e-21
9.5           	1.351578e+00	6.757889e-01	6.757889e-01	1.821861e-02	9.193713e-03	9.024899e-03	8.440685e-05	-2.571233e-20	-1.110450e-20	-3.450492e-20	-2.835696e-20	-6.147958e-21
9.75          	1.346415e+00	6.732077e-01	6.732077e-01	1.913492e-02	9.655690e-03	9.479225e-03	8.823248e-05	-2.563865e-20	-1.105684e-20	-3.417100e-20	-2.814234e-20	-6.028654e-21
10            	1.341573e+00	6.707863e-01	6.707863e-01	1.996301e-02	1.007164e-02	9.891369e-03	9.013502e-05	-2.556773e-20	-1.101307e-20	-3.386185e-20	-2.794399e-20	-5.917853e-21
10.25         	1.336937e+00	6.684685e-01	6.684685e-01	2.078872e-02	1.048445e-02	1.030427e-02	9.009122e-05	-2.549846e-20	-1.097070e-20	-3.356851e-20	-2.775495e-20	-5.813552e-21
10.5          	1.332291e+00	6.661454e-01	6.661454e-01	2.147012e-02	1.082315e-02	1.064697e-02	8.809060e-05	-2.543177e-20	-1.092809e-20	-3.326021e-20	-2.755819e-20	-5.702013e-21
10.75         	1.327923e+00	6.639617e-01	6.639617e-01	2.209049e-02	1.112939e-02	1.096110e-02	8.414756e-05	-2.536755e-20	-1.088844e-20	-3.297750e-20	-2.737719e-20	-5.600312e-21
11            	1.323779e+00	6.618893e-01	6.618893e-01	2.266564e-02	1.141113e-02	1.125451e-02	7.830819e-05	-2.530543e-20	-1.085084e-20	-3.271399e-20	-2.720784e-20	-5.506151e-21
11.25         	1.319637e+00	6.598187e-01	6.598187e-01	2.306980e-02	1.160554e-02	1.146426e-02	7.064175e-05	-2.524627e-20	-1.081347e-20	-3.244034e-20	-2.703364e-20	-5.406698e-21
11.5          	1.315782e+00	6.578910e-01	6.578910e-01	2.337232e-02	1.174741e-02	1.162491e-02	6.124667e-05	-2.519035e-20	-1.077959e-20	-3.219126e-20	-2.687522e-20	-5.316036e-21
11.75         	1.311981e+00	6.559904e-01	6.559904e-01	2.360252e-02	1.185152e-02	1.175101e-02	5.025358e-05	-2.513612e-20	-1.074651e-20	-3.194690e-20	-2.671996e-20	-5.226936e-21
12            	1.308225e+00	6.541127e-01	6.541127e-01	2.366232e-02	1.186895e-02	1.179337e-02	3.779026e-05	-2.508520e-20	-1.071386e-20	-3.169878e-20	-2.656325e-20	-5.135530e-21
12.25         	1.304738e+00	6.523690e-01	6.523690e-01	2.355890e-02	1.180347e-02	1.175543e-02	2.401817e-05	-2.503772e-20	-1.068464e-20	-3.147548e-20	-2.642238e-20	-5.053101e-21
12.5          	1.301337e+00	6.506684e-01	6.506684e-01	2.339989e-02	1.170908e-02	1.169080e-02	9.138959e-06	-2.499211e-20	-1.065639e-20	-3.125929e-20	-2.628603e-20	-4.973259e-21
12.75         	1.297996e+00	6.489981e-01	6.489981e-01	2.303876e-02	1.151271e-02	1.152604e-02	-6.662664e-06	-2.494988e-20	-1.062936e-20	-3.104241e-20	-2.615056e-20	-4.891846e-21
13            	1.294770e+00	6.473848e-01	6.473848e-01	2.258630e-02	1.126997e-02	1.131633e-02	-2.317991e-05	-2.490985e-20	-1.060365e-20	-3.083583e-20	-2.602157e-20	-4.814263e-21
13.25         	1.291729e+00	6.458646e-01	6.458646e-01	2.194587e-02	1.093277e-02	1.101311e-02	-4.016834e-05	-2.487370e-20	-1.058076e-20	-3.064242e-20	-2.590197e-20	-4.740445e-21
