# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 2.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
200.25        	1.380488e+00	6.902441e-01	6.902441e-01	2.623281e-01	1.356796e-01	1.266485e-01	4.515533e-03	-1.949327e-20	-7.430176e-21	6.614501e-21	-4.122926e-21	1.073743e-20
200.5         	1.382259e+00	6.911295e-01	6.911295e-01	2.871370e-01	1.478392e-01	1.392977e-01	4.270739e-03	-1.946161e-20	-7.087605e-21	6.781211e-21	-3.696999e-21	1.047821e-20
200.75        	1.384725e+00	6.923627e-01	6.923627e-01	3.073431e-01	1.576225e-01	1.497206e-01	3.950934e-03	-1.944533e-20	-6.835556e-21	6.802200e-21	-3.434456e-21	1.023666e-20
201           	1.386716e+00	6.933581e-01	6.933581e-01	3.212808e-01	1.642022e-01	1.570786e-01	3.561829e-03	-1.942760e-20	-6.691312e-21	6.703137e-21	-3.339743e-21	1.004288e-20
201.25        	1.389030e+00	6.945152e-01	6.945152e-01	3.301601e-01	1.681905e-01	1.619696e-01	3.110425e-03	-1.942328e-20	-6.638169e-21	6.467833e-21	-3.404253e-21	9.872086e-21
201.5         	1.390867e+00	6.954335e-01	6.954335e-01	3.334396e-01	1.693248e-01	1.641149e-01	2.604954e-03	-1.942057e-20	-6.674226e-21	6.127249e-21	-3.610601e-21	9.737850e-21
201.75        	1.392494e+00	6.962469e-01	6.962469e-01	3.304986e-01	1.673039e-01	1.631947e-01	2.054579e-03	-1.942683e-20	-6.811925e-21	5.680268e-21	-3.971791e-21	9.652059e-21
202           	1.393632e+00	6.968162e-01	6.968162e-01	3.223037e-01	1.626211e-01	1.596826e-01	1.469273e-03	-1.943971e-20	-7.031072e-21	5.124300e-21	-4.468922e-21	9.593222e-21
202.25        	1.393790e+00	6.968948e-01	6.968948e-01	3.084227e-01	1.550708e-01	1.533519e-01	8.594393e-04	-1.944950e-20	-7.330590e-21	4.522064e-21	-5.069557e-21	9.591622e-21
202.5         	1.393894e+00	6.969469e-01	6.969469e-01	2.893399e-01	1.449058e-01	1.444341e-01	2.358029e-04	-1.947675e-20	-7.712857e-21	3.814064e-21	-5.805825e-21	9.619889e-21
202.75        	1.393084e+00	6.965418e-01	6.965418e-01	2.655163e-01	1.323673e-01	1.331490e-01	-3.908230e-04	-1.950409e-20	-8.160016e-21	3.062956e-21	-6.628538e-21	9.691493e-21
203           	1.391864e+00	6.959321e-01	6.959321e-01	2.370501e-01	1.175152e-01	1.195349e-01	-1.009862e-03	-1.954278e-20	-8.674662e-21	2.256288e-21	-7.546518e-21	9.802805e-21
203.25        	1.390089e+00	6.950443e-01	6.950443e-01	2.043662e-01	1.005722e-01	1.037940e-01	-1.610877e-03	-1.958879e-20	-9.251541e-21	1.398451e-21	-8.552316e-21	9.950766e-21
203.5         	1.387815e+00	6.939077e-01	6.939077e-01	1.679495e-01	8.179087e-02	8.615860e-02	-2.183868e-03	-1.964233e-20	-9.879811e-21	5.226192e-22	-9.618501e-21	1.014112e-20
203.75        	1.385229e+00	6.926144e-01	6.926144e-01	1.285487e-01	6.155513e-02	6.699352e-02	-2.719197e-03	-1.970419e-20	-1.055072e-20	-3.759708e-22	-1.073870e-20	1.036273e-20
204           	1.382912e+00	6.914561e-01	6.914561e-01	8.718484e-02	4.038448e-02	4.680036e-02	-3.207938e-03	-1.977992e-20	-1.125283e-20	-1.276580e-21	-1.189112e-20	1.061454e-20
204.25        	1.380704e+00	6.903520e-01	6.903520e-01	4.441363e-02	1.856490e-02	2.584874e-02	-3.641921e-03	-1.986456e-20	-1.197559e-20	-2.171934e-21	-1.306155e-20	1.088962e-20
204.5         	1.378949e+00	6.894745e-01	6.894745e-01	6.206434e-04	-3.703557e-03	4.324200e-03	-4.013879e-03	-1.996059e-20	-1.271481e-20	-3.054233e-21	-1.424193e-20	1.118770e-20
204.75        	1.377729e+00	6.888644e-01	6.888644e-01	-4.317986e-02	-2.590741e-02	-1.727245e-02	-4.317484e-03	-2.006487e-20	-1.345297e-20	-3.908212e-21	-1.540708e-20	1.149886e-20
205           	1.376866e+00	6.884332e-01	6.884332e-01	-8.636124e-02	-4.772806e-02	-3.863318e-02	-4.547440e-03	-2.017040e-20	-1.417671e-20	-4.705191e-21	-1.652931e-20	1.182411e-20
205.25        	1.376504e+00	6.882520e-01	6.882520e-01	-1.279089e-01	-6.865392e-02	-5.925495e-02	-4.699485e-03	-2.027433e-20	-1.486854e-20	-5.419131e-21	-1.757810e-20	1.215897e-20
205.5         	1.376824e+00	6.884122e-01	6.884122e-01	-1.675577e-01	-8.854945e-02	-7.900825e-02	-4.770597e-03	-2.037946e-20	-1.552521e-20	-6.070339e-21	-1.856038e-20	1.249005e-20
205.75        	1.377726e+00	6.888632e-01	6.888632e-01	-2.040636e-01	-1.067909e-01	-9.727273e-02	-4.759063e-03	-2.047809e-20	-1.612385e-20	-6.608451e-21	-1.942807e-20	1.281962e-20
206           	1.378883e+00	6.894414e-01	6.894414e-01	-2.373057e-01	-1.233175e-01	-1.139882e-01	-4.664683e-03	-2.056372e-20	-1.665878e-20	-7.020235e-21	-2.016890e-20	1.314866e-20
206.25        	1.380652e+00	6.903262e-01	6.903262e-01	-2.657427e-01	-1.373600e-01	-1.283826e-01	-4.488691e-03	-2.064181e-20	-1.710929e-20	-7.338706e-21	-2.077864e-20	1.343993e-20
206.5         	1.382866e+00	6.914332e-01	6.914332e-01	-2.902481e-01	-1.493580e-01	-1.408901e-01	-4.233964e-03	-2.071076e-20	-1.748981e-20	-7.548711e-21	-2.126416e-20	1.371545e-20
206.75        	1.384959e+00	6.924797e-01	6.924797e-01	-3.092097e-01	-1.585097e-01	-1.507000e-01	-3.904885e-03	-2.075830e-20	-1.776766e-20	-7.618362e-21	-2.157684e-20	1.395848e-20
207           	1.387349e+00	6.936747e-01	6.936747e-01	-3.229433e-01	-1.649790e-01	-1.579643e-01	-3.507331e-03	-2.079398e-20	-1.795476e-20	-7.564268e-21	-2.173689e-20	1.417262e-20
207.25        	1.389501e+00	6.947505e-01	6.947505e-01	-3.308599e-01	-1.684784e-01	-1.623815e-01	-3.048473e-03	-2.080961e-20	-1.803642e-20	-7.377578e-21	-2.172521e-20	1.434763e-20
207.5         	1.391128e+00	6.955640e-01	6.955640e-01	-3.335053e-01	-1.692894e-01	-1.642160e-01	-2.536690e-03	-2.080371e-20	-1.802457e-20	-7.072044e-21	-2.156060e-20	1.448855e-20
207.75        	1.392563e+00	6.962813e-01	6.962813e-01	-3.297370e-01	-1.668497e-01	-1.628873e-01	-1.981226e-03	-2.078246e-20	-1.790266e-20	-6.651783e-21	-2.122856e-20	1.457677e-20
208           	1.393895e+00	6.969475e-01	6.969475e-01	-3.209384e-01	-1.618613e-01	-1.590770e-01	-1.392148e-03	-2.075292e-20	-1.769742e-20	-6.154951e-21	-2.077490e-20	1.461995e-20
